Rank,Crypto ID,Symbol,Current Price,Market Cap Percentage %,Adjusted Annual Velocity,Valuation Difference,Valuation Difference %,Circulating Supply,Total 24h Volume,Market Sentiment %,Current Mentions,Previous Mentions,Combined Sentiment Score
1,Bitcoin,BTC,85214.65,60.15,57122.05,-28092.6,-32.97,19830887,2905913418.63,0.07,43,557,0.06799797376555625
2,Ethereum,ETH,2219.73,9.53,3247.96,1028.23,46.32,120583070.35,1049702974.3,0.02,0,600,0.022204156490830032
3,Tether USDt,USDT,1.0,5.06,0.14,-0.86,-86.0,142192589364.2,59011562.23,-0.07,199,294,-0.07658310095402107
4,XRP,XRP,2.16,4.46,1.81,-0.35,-16.2,57949738512,346349895.53,-0.17,226,331,-0.16879241618109705
5,BNB,BNB,604.19,3.06,661.93,57.74,9.56,142476024.43,192981003.95,0.34,260,340,0.3388800982146265
6,Solana,SOL,140.55,2.54,483.91,343.36,244.3,507155544.44,659052053.79,0.02,2,598,0.020208968130792093
7,USDC,USDC,1.0,2.01,5.16,4.16,416.0,56361152709.45,735560924.97,0.08,110,374,0.0845959531397954
8,Dogecoin,DOGE,0.2,1.07,0.35,0.15,75.0,148250836383.71,205876406.06,-0.31,141,415,-0.3086431067929603
9,Cardano,ADA,0.64,0.8,0.82,0.18,28.12,35212423444.4,100436088.65,-0.21,225,320,-0.20825454131052085
10,TRON,TRX,0.23,0.71,0.57,0.34,147.83,86065320618.59,113547677.0,0.19,266,256,0.19744748355560957
11,Hedera,HBAR,0.24,0.36,1.43,1.19,495.83,41908413178.62,171913499.5,-0.05,106,217,-0.04384344899379398
12,Chainlink,LINK,14.8,0.34,28.9,14.1,95.27,638099970.45,51688110.45,-0.02,79,521,-0.022583500292198355
13,Litecoin,LTC,124.87,0.34,698.82,573.95,459.64,75558468.3,145933743.08,-0.01,271,248,-0.008709714282112
14,Stellar,XLM,0.3,0.33,0.36,0.06,20.0,30684384883.37,37561664.99,-0.2,270,234,-0.19468458799886657
15,UNUS SED LEO,LEO,9.78,0.32,0.0,-9.78,-100.0,924029981.9,0.0,0,34,0,-0.14
16,Sui,SUI,2.83,0.32,22.47,19.64,693.99,3169845047.48,146915117.29,0.33,38,265,0.32825503440803694
17,Avalanche,AVAX,21.6,0.32,41.55,19.95,92.36,414086901.51,48856757.22,-0.04,175,284,-0.03539178955798201
18,Toncoin,TON,3.28,0.29,2.8,-0.48,-14.63,2495702833.42,29461612.96,-0.35,133,367,-0.3498538625643116
19,Shiba Inu,SHIB,0.0,0.28,0.0,0.0,0,589253610680239.4,18058566.27,0,169,334,-0.3176313556939569
20,MANTRA,OM,7.47,0.26,8.27,0.8,10.71,974362090.24,17418502.46,0.27,153,36,0.2668174457374891
21,Polkadot,DOT,4.63,0.26,9.21,4.58,98.92,1553578873.96,38133537.39,0.03,201,327,0.027897982651293438
22,Hyperliquid,HYPE,19.22,0.23,0.0,-19.22,-100.0,333928180,0.0,0,113,457,-0.14600443168647562
23,Bitcoin Cash,BCH,309.77,0.22,471.52,161.75,52.22,19836156.25,26868562.63,-0.05,104,496,-0.046274761407822
24,Ethena USDe,USDE,1.0,0.19,0.0,-1.0,-100.0,5463651055.36,0.0,0,12,116,-0.2683143650337961
25,Dai,DAI,1.0,0.19,0.13,-0.87,-87.0,5365382702.66,1418155.2,0.3,120,423,0.3220360036187146
26,Bitget Token,BGB,4.05,0.17,0.0,-4.05,-100.0,1200000000,0.0,0,121,270,-0.01846247568795524
27,Uniswap,UNI,7.49,0.16,19.25,11.76,157.01,600518037.71,35619149.55,-0.11,221,377,-0.1107150195010897
28,Monero,XMR,222.15,0.15,165.36,-56.79,-25.56,18446744.07,8701928.31,-0.04,290,218,-0.03963536375724659
29,NEAR Protocol,NEAR,3.28,0.14,11.99,8.71,265.55,1187984699,49197135.66,-0.21,185,383,-0.20673423299823973
30,Aptos,APT,6.39,0.13,40.79,34.4,538.34,589135750.05,48227779.0,0.37,256,93,0.3650620635381684
31,Pepe,PEPE,0.0,0.11,0.0,0.0,0,420689899653543.56,190763597.12,0,62,349,-0.10036747492998309
32,Ondo,ONDO,1.01,0.11,0.62,-0.39,-38.61,3159107529,4176663.22,0.29,15,152,0.28308672714766764
